#,品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
45,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-02,8052557,真如店,0,,0,0,0,0,,0,
46,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-02,8223184,大宁店,0,,0,0,0,0,,0,
47,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-02,8106681,怒江路店,0,,0,0,0,0,,0,
48,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-03,8165842,虹口足球场店,0,,0,0,0,0,,0,
49,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-03,8184590,五角场店,0,,0,0,0,0,,0,
50,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-03,8052557,真如店,0,,0,0,0,0,,0,
51,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-03,8223184,大宁店,0,,0,0,0,0,,0,
52,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-03,8106681,怒江路店,0,,0,0,0,0,,0,
53,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-04,8165842,虹口足球场店,0,,0,0,0,0,,0,
54,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-04,8184590,五角场店,0,,0,0,0,0,,0,
55,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-04,8223184,大宁店,0,,0,0,0,0,,0,
56,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-04,8106681,怒江路店,0,,0,0,0,0,,0,
57,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-05,8165842,虹口足球场店,0,,0,0,0,0,,0,
58,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-05,8106681,怒江路店,0,,0,0,0,0,,0,
59,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-06,8165842,虹口足球场店,0,,0,0,0,0,,0,
60,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-06,8106681,怒江路店,0,,0,0,0,0,,0,
61,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-07,8165842,虹口足球场店,0,,0,0,0,0,,0,
62,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-07,8106681,怒江路店,0,,0,0,0,0,,0,
63,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-08,8165842,虹口足球场店,0,,0,0,0,0,,0,
64,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-08,8184590,五角场店,0,,0,0,0,0,,0,
65,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-08,8052557,真如店,0,,0,0,0,0,,0,
66,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-08,8223184,大宁店,0,,0,0,0,0,,0,
67,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-08,8106681,怒江路店,0,,0,0,0,0,,0,
68,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-09,8165842,虹口足球场店,0,,0,0,0,0,,0,
69,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-09,8184590,五角场店,0,,0,0,0,0,,0,
70,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-09,8052557,真如店,0,,0,0,0,0,,0,
71,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-09,8223184,大宁店,0,,0,0,0,0,,0,
72,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-09,8106681,怒江路店,0,,0,0,0,0,,0,
73,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-10,8165842,虹口足球场店,0,,0,0,0,0,,0,
74,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-10,8184590,五角场店,0,,0,0,0,0,,0,
75,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-10,8052557,真如店,0,,0,0,0,0,,0,
76,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-10,8223184,大宁店,0,,0,0,0,0,,0,
77,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-10,8106681,怒江路店,0,,0,0,0,0,,0,
78,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-11,8165842,虹口足球场店,0,,0,0,0,0,,0,
79,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-11,8184590,五角场店,0,,0,0,0,0,,0,
80,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-11,8052557,真如店,0,,0,0,0,0,,0,
81,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-11,8223184,大宁店,0,,0,0,0,0,,0,
82,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-11,8106681,怒江路店,0,,0,0,0,0,,0,
83,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8165842,虹口足球场店,0,,0,0,0,0,,0,
84,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8184590,五角场店,0,,0,0,0,0,,0,
85,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8052557,真如店,0,,0,0,0,0,,0,
86,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8223184,大宁店,0,,0,0,0,0,,0,
87,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8106681,怒江路店,0,,0,0,0,0,,0,
88,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-12,8260331,大世界店,0,,0,0,0,0,,0,
89,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8165842,虹口足球场店,0,,0,0,0,0,,0,
90,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8184590,五角场店,0,,0,0,0,0,,0,
91,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8052557,真如店,0,,0,0,0,0,,0,
92,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8223184,大宁店,0,,0,0,0,0,,0,
93,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8106681,怒江路店,0,,0,0,0,0,,0,
94,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-13,8260331,大世界店,0,,0,0,0,0,,0,
95,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8165842,虹口足球场店,0,,0,0,0,0,,0,
96,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8184590,五角场店,0,,0,0,0,0,,0,
97,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8052557,真如店,0,,0,0,0,0,,0,
98,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8223184,大宁店,0,,0,0,0,0,,0,
99,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8106681,怒江路店,0,,0,0,0,0,,0,
100,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-14,8260331,大世界店,0,,0,0,0,0,,0,
101,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8165842,虹口足球场店,0,,0,0,0,0,,0,
102,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8184590,五角场店,0,,0,0,0,0,,0,
103,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8052557,真如店,0,,0,0,0,0,,0,
104,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8223184,大宁店,0,,0,0,0,0,,0,
105,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8106681,怒江路店,0,,0,0,0,0,,0,
106,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-15,8260331,大世界店,0,,0,0,0,0,,0,
107,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8165842,虹口足球场店,0,,0,0,0,0,,0,
108,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8184590,五角场店,0,,0,0,0,0,,0,
109,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8052557,真如店,0,,0,0,0,0,,0,
110,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8223184,大宁店,0,,0,0,0,0,,0,
111,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8106681,怒江路店,0,,0,0,0,0,,0,
112,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-16,8260331,大世界店,0,,0,0,0,0,,0,
113,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8165842,虹口足球场店,0,,0,0,0,0,,0,
114,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8184590,五角场店,0,,0,0,0,0,,0,
115,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8052557,真如店,0,,0,0,0,0,,0,
116,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8223184,大宁店,0,,0,0,0,0,,0,
117,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8106681,怒江路店,0,,0,0,0,0,,0,
118,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-17,8260331,大世界店,0,,0,0,0,0,,0,
119,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8165842,虹口足球场店,0,,0,0,0,0,,0,
120,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8184590,五角场店,0,,0,0,0,0,,0,
121,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-09-18,8052557,真如店,0,,0,0,0,0,,0,
